relation_id,source_asset_id,target_asset_id,relation_type,description
REL-001,LDO-CUST-001,BDO-CUST-001,maps to,
REL-002,TDO-CUST-001,LDO-CUST-001,implements,
REL-003,LDO-CUST-002,BDO-CUST-002,maps to,
REL-004,TDO-CUST-002,LDO-CUST-002,implements,
REL-005,LDO-CUST-003,BDO-CUST-003,maps to,
REL-006,TDO-CUST-003,LDO-CUST-003,implements,
REL-007,LDO-CUST-004,BDO-CUST-004,maps to,
REL-008,TDO-CUST-004,LDO-CUST-004,implements,
REL-009,LDO-MACH-001,BDO-MACH-001,maps to,
REL-010,TDO-MACH-001,LDO-MACH-001,implements,
REL-011,LDO-MACH-002,BDO-MACH-002,maps to,
REL-012,TDO-MACH-002,LDO-MACH-002,implements,
REL-013,LDO-MACH-003,BDO-MACH-003,maps to,
REL-014,TDO-MACH-003,LDO-MACH-003,implements,
REL-015,LDO-MACH-004,BDO-MACH-004,maps to,
REL-016,TDO-MACH-004,LDO-MACH-004,implements,
REL-017,LDO-MACH-005,BDO-MACH-005,maps to,
REL-018,TDO-MACH-005,LDO-MACH-005,implements,
REL-019,TDO-MACH-003,TDO-CUST-002,foreign key,
REL-020,LDO-LOC-001,BDO-LOC-001,maps to,
REL-021,LDO-LOC-002,BDO-LOC-002,maps to,
REL-022,LDO-LOC-003,BDO-LOC-003,maps to,
REL-023,LDO-LOC-004,BDO-LOC-004,maps to,
REL-024,LDO-LOC-005,BDO-LOC-005,maps to,
REL-025,LDO-LOC-006,BDO-LOC-006,maps to,
REL-026,LDO-LOC-007,BDO-LOC-007,maps to,
REL-027,LDO-LOC-008,BDO-LOC-008,maps to,
REL-028,LDO-IB-001,BDO-IB-001,maps to,
REL-029,LDO-IB-002,BDO-IB-002,maps to,
REL-030,LDO-IB-003,BDO-IB-003,maps to,
REL-031,LDO-IB-004,BDO-IB-004,maps to,
REL-032,LDO-STATE-001,BDO-STATE-001,maps to,
REL-033,LDO-STATE-002,BDO-STATE-002,maps to,
REL-034,LDO-STATE-003,BDO-STATE-003,maps to,
REL-035,LDO-STATE-004,BDO-STATE-004,maps to,
REL-036,LDO-STATE-005,BDO-STATE-005,maps to,
REL-037,LDO-STATE-006,BDO-STATE-006,maps to,
REL-038,LDO-STATE-007,BDO-STATE-007,maps to,
REL-039,LDO-EVENT-001,BDO-EVENT-001,maps to,
REL-040,LDO-EVENT-002,BDO-EVENT-002,maps to,
REL-041,LDO-EVENT-003,BDO-EVENT-003,maps to,
REL-042,LDO-EVENT-004,BDO-EVENT-004,maps to,
REL-043,LDO-EVENT-005,BDO-EVENT-005,maps to,
REL-044,LDO-EVENT-006,BDO-EVENT-006,maps to,
REL-045,LDO-CUST-001,LDO-LOC-001,is located at,
REL-046,LDO-IB-001,LDO-MACH-001,references,
REL-047,LDO-IB-001,LDO-LOC-001,references,
REL-048,LDO-MACH-001,LDO-STATE-001,has,
REL-049,LDO-MACH-001,LDO-EVENT-001,generates,
REL-050,TDO-LEONIE-001,LDO-LOC-001,implements,
REL-051,TDO-BART-001,LDO-IB-001,implements,
REL-052,TDO-ZACHARIAS-001,LDO-STATE-001,implements,
REL-053,TDO-ERNESTO-001,LDO-EVENT-001,implements,
